code	english	definition	translation
461	Antarctica	"A continent lying chiefly within the Antarctic Circle and asymmetrically centered on the South Pole: it consists of an ice-covered plateau (some 95 percent of Antarctica is covered by an icecap averaging 1,6 km in thickness), 1800-3000 m above sea level, and mountains ranges rising to 4500 m with some volcanic peaks; average temperatures all below freezing and human settlement is confined to research station."	Antarktika
463	Antarctic ecosystem		Antarktika ekosistemi
464	Antarctic Ocean	"The waters, including ice shelves, that surround the continent of Antarctica, which comprise the southernmost parts of the Pacific, Atlantic and Indian oceans, and also the Ross, Amundsen, Bellingshausen and Weddell seas."	Antarktika (Cənub) okeanı
465	Antarctic region	"An area within the Antarctic Circle that includes the fifth largest continent and its surrounding waters, consisting mostly of thick ice shelves."	Antarktika regionu
468	anthropic activity	Action resulting from or influenced by human activity or intervention.	insan fəaliyyəti
470	anthropogenic factor		antropogen amil
471	anthropologic reserve	Area of protection of the life style of societies where traditional human activities are still maintained and the exploitation of natural resources is still carried out without compromising the future availability.	antropoloji qoruq
473	antibiotic	"A chemical substance, produced by microorganisms and synthetically, that has the capacity to inhibit the growth of, and even to destroy, bacteria and other microorganisms."	antibiotik
474	antibody	"A complex protein that is produced in response to the introduction of a specific antigen into an animal. Antibodies belong to a class of proteins called immunoglobins, which are formed by plasma cells in the blood as a defence mechanism against invasion by parasites, notably bacteria and viruses, either by killing them or rendering them harmless."	anticism
475	anticipation of danger	"The act of foreseeing, expecting and taking measures against possible future exposure to harm, death or a thing that causes these."	təhlükə gözləntisi
478	antifouling agent	"Agent that inhibits the growth of barnacles and other marine organisms on a ship's bottom (an antifouling paint or other coating). Organo-tin compounds have been the most often used agents in this application since they are effective against both soft and hard fouling organisms. However, in spite of their performance, they have a negative impact on the marine environment and their long half life in the environment, has prompted marine paint manufacturers to look for a nonpersistent alternative."	yosun əleyhinə reagent
483	antipollution incentive	Financial reward or penalty used to incite action towards greater responsibility in reducing the presence of pollution or substances in the environment deemed harmful to human health or natural resources.	ətraf mühitin çirklənməsinə qarşı mübarizənin stimullaşdırılması
486	AOX value	Organic halogens subject to absorption. This is a measure of the amount of chlorine (and other halogens) combined with organic compounds.	üzvi halogenlərin absorbsiya göstəricisi
488	apartment block	An apartment building in which each apartment is individually wholly owned and the common areas are jointly owned.	çoxmənzilli yaşayış binası
490	apiculture	Large-scale commercial beekeeping.	arıçılıq
492	appeal	Resort to a superior court to review the decision of an inferior court or administrative agency.	apelyasiya
493	appeal procedure	Procedure through which it is possible to resort to a superior court to review the decision of an inferior court.	apelyasiya proseduru
494	applied ecology	The application of ecological principles to the solution of human problems.	tətbiqi ekologiya
495	applied nutrition	Putting to use general principles of the science of human nourishment to address or solve specific problems.	tətbiqi dietetika
496	applied science	Science whose results are employed in technical applications.	tətbiqi elm
498	appropriate technology	"1) A flexible and participatory approach to developing economically viable, regionally applicable and sustainable technology.
2) Technology designed to be used in developing countries. Typical requirements are that it should: be easy to use by the unskilled; have no difficult-to-get parts; be easily repaired on the spot. Typical example: a simple windmill to pump water rather than a diesel-driven pump. The terms `alternative', `intermediate' and `appropriate' are often used interchangeably."	məqbul texnologiya
