code	 English terms	English definitions	Arabic translated terms 	Arabic translated definitions 				
216	agricultural pollution	"The liquid or solid wastes from farming, including: runoff from pesticides, fertilizers, and feedlots; erosion and dust from plowing; animal manure and carcasses, crop residues, and debris."	تلوث زراعي	"المخلفات السائلة أو الصلبة الناتجة عن الزراعة .  وتتضمن تسربات المبيدات والأسمدة والأعلاف، ونواتج التعرية والغبار المتخلف عن الحرث، وروث البهائم ، وجثث الحيوانات النافقة ، وبقايا المحاصيل والأنقاض."				
219	agricultural production		إنتاج زراعي					
220	agricultural product	The output of the cultivation of the soil.	مُنتَج زراعي	ناتج عملية استزراع التربة				
224	agricultural storage	"Any deposit or holdings of farm products, fertilizers, grains, feed and other related supplies in facilities or containers, often to prevent contamination or for times when production cannot meet demand."	تخزين زراعي	"أي مخزون أو كميات محفوظة من المنتجات الزراعية والأسمدة والحبوب والأعلاف وغيرها من الإمدادات ذات الصلة الموضوعة في منشآت أو حاويات، وذلك  لحمايتها غالباً من التلوث، وفي أحيان أخرى للانتفاع بها في الأوقات التي لا يغطي فيها الإنتاج الطلب."				
229	agricultural waste	"Unusable materials, liquid or solid, that result from agricultural practices, such as fertilizers, pesticides, crop residue (such as orchard prunings) and cattle manure."	مخلفات زراعية	مواد سائلة أو صلبة غير قابلة للاستخدام ناجمة عن الممارسات الزراعية مثل الأسمدة والمبيدات وبقايا المحاصيل (كمخلفات تقليم المحاصيل البستانية) وروث الماشية.				
232	agriculture	"The production of plants and animals useful to man, involving soil cultivation and the breeding and management of crops and livestock."	زراعة	"إنتاج النباتات والحيوانات المفيدة للإنسان، بما في ذلك استزراع التربة وإدارة المحاصيل والثروة الحيوانية وتحسينها وتربيتها."				
233	agriculture and cattle industry	Large scale growing of crops and livestock grazing for profit.	صناعة التربية والزراعة	زراعة المحاصيل ورعي الثروة الحيوانية على نطاق واسع من أجل الربح.				
235	agriculture framework plan	"A formulated or systematic method for the management of soil, crops and livestock."	خطة إطار زراعية	أسلوب مصاغ  أو ممنهج لإدارة التربة والمحاصيل والثروة الحيوانية.				
237	agrochemical	"Any substance or mixture of substances used or intended to be used for preventing, destroying, repelling, attracting, inhibiting, or controlling any insects, rodents, birds, nematodes, bacteria, fungi, weeds or other forms of plant, animal or microbial life regarded as pests."	الكيماويات الزراعية	أي مادة أو مزيج من عدة مواد تستخدم أو ينتوى استخدامها لمنع أو إبادة أو طرد أو اجتذاب أو تخويف أو السيطرة على أي نوع من الحشرات أو القوارض أو الطيور أو الديدان السلكية أو البكتيريا أو الفطريات أو الحشائش الضارة أو غيرها من أشكال النبات أو الحيوان أو الحياة الميكروبية مما يندرج تحت مسمى الآفات.				
239	agroforestry	"The interplanting of farm crops and trees, especially leguminous species. In semiarid regions and on denuded hillsides, agroforestry helps control erosion and restores soil fertility, as well as supplying valuable food and commodities at the same time."	زراعة المحاصيل والأشجار	"غرس المحاصيل الزراعية  والاشجار بالتبادل وخاصة الأنواع البقولية. ففي المناطق شبه الجافة وعلى جوانب التلال المكشوفة يساعد التخريج الزراعى على السيطرة على عوامل التعرية واستعادة خصوبة التربة، إلى جانب توفير الغذاء والسلع القيمة في الوقت نفسه."				
